Wall time,Step,Value
1523353865.1009824,0,1.146412432717625e-05
1523354336.288954,5279,0.9837993383407593
1523354959.873392,11153,0.9982209205627441
1523355537.465557,17088,0.9986893534660339
1523356134.4999158,23091,0.9984279870986938
1523356734.0743556,29153,0.9982063174247742
1523357334.6485906,35205,0.9993429183959961
1523357933.309224,41239,0.9994224309921265
1523358533.8063228,47281,0.9988876581192017
1523359136.528146,53174,0.9988148808479309
1523359735.893003,59116,0.9993892312049866
1523360333.7479181,65045,0.9993331432342529
1523360935.9729428,71093,0.998085618019104
1523361536.243477,77066,0.9988832473754883
1523362148.839482,82887,0.9988982081413269
1523362735.2870414,88704,0.9987916350364685
1523363337.663977,94752,0.9988182187080383
